cluster,weekdayindex,day,hour,time,violationdescription,percent,globalpercent,result,lat_min,long_min,lat_max,long_max
69,1,Tuesday,11,11:00 ,BLOCKING DRIVEWAY,1.0,0.076305221,13.11,33.78156124,-118.2700424,33.78662214,-118.2627217
1867,4,Friday,12,12:00 ,NO PARK/STREET CLEAN,1.0,0.219369454,4.56,34.03991304,-118.4560767,34.04021558,-118.4556165
1353,0,Monday,17,5:00 P,STOP/STAND PROHIBIT,1.0,0.02173913,46.0,34.18904247,-118.5360275,34.18904247,-118.5360275
1396,0,Monday,12,12:00 ,NO PARKING,0.25,0.047482014,5.27,34.168858,-118.540642,34.168858,-118.540642
1423,2,Wednesday,6,6:00 A,FIRE HYDRANT,1.0,0.064327485,15.55,34.07045778,-118.200111,34.07109712,-118.1998061
5846,1,Tuesday,10,10:00 ,RED ZONE,1.0,0.065,15.38,34.04606627,-118.2548385,34.04616064,-118.2546921
5709,1,Tuesday,9,9:00 A,YELLOW ZONE,1.0,0.069444444,14.4,34.03822045,-118.249368,34.03836923,-118.249212
3247,3,Thursday,3,3:00 A,NO PARKING,1.0,0.042465753,23.55,34.177566,-118.43561,34.177566,-118.43561
3042,4,Friday,1,1:00 A,RED ZONE,0.5,0.072368421,6.91,34.04580876,-118.1970243,34.046786,-118.1956
4851,5,Saturday,21,9:00 P,METER EXP.,0.333333333,0.004557292,73.14,34.099761,-118.332467,34.099761,-118.332467
28,3,Thursday,11,11:00 ,DISPLAY OF PLATES,0.5,0.081771721,6.11,33.78241543,-118.281029,33.78241543,-118.281029
5865,4,Friday,13,1:00 P,DOUBLE PARKING,1.0,0.058252427,17.17,34.04062415,-118.2525947,34.04065029,-118.2525608
5073,2,Wednesday,10,10:00 ,NO PARK/STREET CLEAN,1.0,0.22484119,4.45,34.07113825,-118.3095391,34.071139,-118.309124
1915,3,Thursday,12,12:00 ,NO PARK/STREET CLEAN,0.5,0.21692563,2.3,33.998866,-118.462723,34.00098064,-118.4612526
3239,4,Friday,10,10:00 ,PREFERENTIAL PARKING,0.2,0.024635036,8.12,34.083606,-118.375272,34.083606,-118.375272
3985,2,Wednesday,8,8:00 A,NO PARK/STREET CLEAN,1.0,0.302407222,3.31,34.06641924,-118.339676,34.066899,-118.339675
4006,3,Thursday,11,11:00 ,METER EXP.,0.133333333,0.139026112,0.96,34.071124,-118.323523,34.071124,-118.323523
1456,3,Thursday,17,5:00 P,METER EXP.,1.0,0.074100212,13.5,34.0339,-118.444664,34.0339,-118.444664
2135,2,Wednesday,8,8:00 A,EXCEED 72HRS-ST,1.0,0.106796117,9.36,34.00902529,-118.3170771,34.0124445,-118.3116534
5570,4,Friday,14,2:00 P,METER EXP.,0.166666667,0.083542488,1.99,34.03332,-118.251454,34.03332,-118.251454
3540,1,Tuesday,12,12:00 ,METER EXP.,1.0,0.128044972,7.81,34.1820715,-118.4465285,34.182154,-118.4465284
6384,2,Wednesday,11,11:00 ,METER EXP.,1.0,0.127189909,7.86,34.05320486,-118.2698703,34.05331972,-118.2696161
570,2,Wednesday,8,8:00 A,NO PARK/STREET CLEAN,1.0,0.302407222,3.31,34.30362961,-118.444398,34.30545491,-118.442148
5507,0,Monday,16,4:00 P,RED ZONE,1.0,0.029149798,34.31,34.07772074,-118.2597296,34.07779747,-118.2595528
949,3,Thursday,11,11:00 ,NO PARK/STREET CLEAN,0.6,0.056569618,10.61,34.22310711,-118.3671054,34.22791955,-118.365721
638,5,Saturday,10,10:00 ,METER EXP.,0.25,0.118489583,2.11,34.065238,-118.469281,34.065238,-118.469281
3707,1,Tuesday,1,1:00 A,DISPLAY OF TABS,1.0,0.029983793,33.35,33.94465,-118.2771945,33.945557,-118.276194
6411,4,Friday,11,11:00 ,METER EXP.,0.5,0.150233058,3.33,34.0618,-118.290303,34.0618,-118.290303
4488,1,Tuesday,18,6:00 P,PREFERENTIAL PARKING,0.5,0.192136499,2.6,34.08382357,-118.3451498,34.08382357,-118.3451498
1935,2,Wednesday,12,12:00 ,OFF STR/OVERTIME/MTR,0.5,0.127272727,3.93,33.995927,-118.478087,33.995927,-118.478087
202,3,Thursday,14,2:00 P,METER EXP.,0.333333333,0.093860268,3.55,34.11743266,-118.2616563,34.11747071,-118.2616155
4649,2,Wednesday,12,12:00 ,NO PARK/STREET CLEAN,1.0,0.207622869,4.82,34.05032822,-118.29893,34.050882,-118.2968389
3550,1,Tuesday,10,10:00 ,METER EXP.,0.111111111,0.084009994,1.32,34.162975,-118.373469,34.162975,-118.373469
1559,1,Tuesday,18,6:00 P,DISPLAY OF PLATES,1.0,0.06031746,16.58,34.03980486,-118.4310172,34.03989155,-118.4309424
162,4,Friday,12,12:00 ,METER EXP.,0.5,0.130154177,3.84,34.13785545,-118.2179972,34.13850445,-118.2165451
5609,0,Monday,12,12:00 ,DISPLAY OF TABS,1.0,0.12195122,8.2,34.03417076,-118.2575374,34.03433549,-118.2574042
1338,2,Wednesday,4,4:00 A,PARKED ON SIDEWALK,1.0,0.022556391,44.33,34.078739,-118.2104319,34.08175957,-118.207312
1544,2,Wednesday,7,7:00 A,NO PARK/STREET CLEAN,1.0,0.010364427,96.48,34.06222228,-118.2127782,34.06253936,-118.2127727
5795,2,Wednesday,12,12:00 ,METER EXP.,0.333333333,0.128941836,2.59,34.043087,-118.253638,34.043087,-118.253638
387,3,Thursday,3,3:00 A,NO PARKING,0.666666667,0.042465753,15.7,33.95979572,-118.3951618,33.95979572,-118.3951618
2846,2,Wednesday,7,7:00 A,NO PARKING,1.0,0.033802817,29.58,33.93286535,-118.2858095,33.934741,-118.2835856
1043,6,Sunday,17,5:00 P,PREFERENTIAL PARKING,1.0,0.070881226,14.11,34.02973115,-118.4555742,34.03030116,-118.4549077
2655,5,Saturday,7,7:00 A,PARKED IN PARKWAY,1.0,0.045454545,22.0,33.989122,-118.306311,33.99506241,-118.3012367
2156,3,Thursday,15,3:00 P,METER EXP.,1.0,0.075511644,13.24,34.05054266,-118.4338285,34.05054266,-118.4338285
4609,4,Friday,19,7:00 P,METER EXP.,0.25,0.048762997,5.13,34.099529,-118.28918,34.099529,-118.28918
6292,2,Wednesday,13,1:00 P,METER EXP.,1.0,0.108619481,9.21,34.065389,-118.299202,34.065389,-118.299202
2556,1,Tuesday,9,9:00 A,METER EXP.,0.142857143,0.047470331,3.01,34.14786461,-118.3789772,34.14786461,-118.3789772
5796,4,Friday,2,2:00 A,NO PARK/STREET CLEAN,1.0,0.001510289,662.12,34.04312906,-118.2539213,34.04326927,-118.2537034
1300,1,Tuesday,11,11:00 ,DISPLAY OF TABS,1.0,0.093192869,10.73,34.0679856,-118.4525201,34.06802416,-118.4525195
759,4,Friday,8,8:00 A,NO PARKING,1.0,0.066390041,15.06,33.99273237,-118.3281688,33.99469026,-118.3269383
1631,3,Thursday,1,1:00 A,NO STOP/STAND,1.0,0.023041475,43.4,34.221393,-118.472093,34.221405,-118.469909
611,4,Friday,10,10:00 ,DISPLAY OF TABS,1.0,0.137744035,7.26,34.121069,-118.204759,34.121069,-118.204759
2341,2,Wednesday,11,11:00 ,METER EXP.,0.25,0.127189909,1.97,33.984246,-118.471359,33.984246,-118.471359
3498,2,Wednesday,10,10:00 ,NO PARK/STREET CLEAN,1.0,0.22484119,4.45,34.05240505,-118.3186826,34.05355556,-118.3170341
4443,2,Wednesday,21,9:00 P,PREFERENTIAL PARKING,1.0,0.099358974,10.06,34.09861025,-118.2862291,34.09864727,-118.286229
3924,0,Monday,13,1:00 P,PARKED OVER TIME LIMIT,1.0,0.187617261,5.33,34.04518267,-118.2360162,34.045336,-118.2357472
2164,1,Tuesday,10,10:00 ,NO PARK/STREET CLEAN,1.0,0.242712581,4.12,34.03668782,-118.3833819,34.037122,-118.382246
1252,4,Friday,18,6:00 P,PARKED ON SIDEWALK,1.0,0.047945205,20.86,34.23836624,-118.442482,34.24123338,-118.4401778
5642,4,Friday,13,1:00 P,METER EXP.,1.0,0.094299032,10.6,34.055121,-118.25447,34.055121,-118.25447
6068,0,Monday,10,10:00 ,NO PARK/STREET CLEAN,1.0,0.247836954,4.03,34.06751835,-118.2775703,34.068478,-118.276573
1363,0,Monday,1,1:00 A,PARKED ON SIDEWALK,0.5,0.058333333,8.57,34.22330462,-118.5327885,34.22644801,-118.530645
